Songs,Songs_Keys,Artist_id,Artist
Amalgama,TRAAMII128F933B583,ARULHJM1187B997004,Word
Born and Raised In Compton,TRAAMJY128F92F5919,AROTIMO1187FB532BF,DJ Quik
We're Gonna Go Fishin',TRAAMKI128F428537A,,
Robbers Kill Cop,TRAAMKL128F9347D8A,,
Relax,TRAAMKP12903CC74F4,ARA0H5U1187FB47949,2-4 Grooves feat. Reki D.
Sweet By And By,TRAAMKW128F4249CF0,,
Orgofart,TRAAMPA128F92E7D0D,,
Bitch Is Back,TRAAMSO128EF348DCC,,
Naked Albino,TRAAMXP128F4264F6A,ARRA2F91187B9B4061,Bare Jr.
Johnny Loves Me (LP Version),TRAAMYQ128F148B753,ARSGZ3J1187FB3E610,Shelley Fabares
Dearly Beloved,TRAAMZB12903CAB002,ARMQ32V1187B9999F3,Norrie Paramor
The Look Of Love,TRAAMZR128F9315DCC,,
Cooler Than You,TRAANBH128F9345A6C,AR1GYND1187B9A9CD3,Diesel Boy
Taryns Deepest Fear,TRAANKK128F42531BC,,
Summer Dying Fast,TRAANLO128F422AE37,ARF0W6Z1187B9AC325,Cradle Of Filth
Still,TRAANLZ128F934EC42,,
Snapshot,TRAANMF12903CEAFEF,ARZHLNX1187FB4B8E7,Ladybug
End Of The Road (Head Hornys Remix),TRAANRI12903CD0A9C,ARC25S11187B993923,Bandido
7 Miles,TRAANTD128F9323B23,ARKE8PP1187B997DD4,Brixx
The Frail,TRAANTZ128E0792529,,
Para Milladoiro,TRAAODT12903D0D16E,,
Stone Cold Fingers (Bonus Track),TRAAOEH128F426A82F,ARFS01P1187B9A395A,Leland Martin
Snowball,TRAAOIN128F9303790,,
(We Don't Need This) Fascist Groove Thang,TRAAOJI128F1458DCD,AR5MK521187B98E0B8,Heaven 17
Drunk Alone,TRAAOPW128F428AE31,,
Charisma,TRAAORY128F934984F,ARTB56G11C8A41569D,Sven Tasnadi
Going Down Slow,TRAAOTD128F42322FC,,
All Rise,TRAAOTT128F14AE002,AR9AN471187B99E0DA,Scott Wesley Brown
Jogo Limpo,TRAAOTT128F9342E04,ARAR4YH1187B98BF2A,FlÃ¡vio JosÃ©
Silent Hill,TRAAOXM12903CFB3B0,AR567PN1187FB4B4F2,Moss
Our Love Is Here To Stay,TRAAOYG128F9314996,,
Everything Changes,TRAAPCC128F42519A7,AR4K59J1187FB3759B,Soular
Master Of Disharmony,TRAAPFQ128F42684DB,ARLSF8H1187B9A76B0,Dimmu Borgir
(This Is Not A) Love Song (Live),TRAAPGF128F1458F8B,,
What Are We Here For,TRAAPIV128F1493132,,
Une petite pause,TRAAPLS12903CB2D40,ARDDHGI126E2B3AA76,Pascal Sangla
Wig,TRAAPPQ128F14961F5,ARVML631187B99E90D,The B-52's
Perasmena Mesanihta,TRAAPQQ128F427C750,,
God Save the Queen (Live),TRAAPSQ12903CAE86A,,
Forever,TRAAPVV128F425D64C,,
Sun Is Shining,TRAAPWD128F931ACD4,ARMG6K31187FB55677,Deekline & Wizard
New Age,TRAAPXK128F934DF25,,
Have Yourself A Merry Little Christmas,TRAAQBF12903CF796B,ARC6UC81187B989062,Hem
U Killed It,TRAAQCK128F92E8C33,,
Rain And Snow,TRAAQDJ128F92F95E0,,
Gerra De De,TRAAQDL12903CA8FB5,ARHXBJI1241B9C8B7F,DJ Dips
Kako mi je pitas sad,TRAAQEV12903CB5459,ARTFLEU1269FCD1FE3,Ana Bekuta
Voices On The Corner,TRAAQFC128F425ED83,AR0LVFQ1187B9A84E0,Jason Miles
(Bloody Paw On The) Kill Floor,TRAAQIH128F428BDEA,,
I Wish My Mother Was Here,TRAAQLE128F424AE71,ARZ05QG1187FB3843E,Byther Smith
Inolvidable,TRAAQLJ128F428E870,ARTEGHH1187FB435C8,Bebo & Cigala
Miracle,TRAAQOH128F4265CE6,ARASSX21187FB528B7,Bizarre Inc
Witch Weed (Live),TRAAQPS128F429161D,,
Not Buried Deep Enough,TRAAQUC128F9322A82,,
Give Me 40 Acres (To Turn This Rig Around),TRAAQUF12903CDF4A4,AR87OXB1187FB39E0B,The Willis Brothers
Ernesto Nazareth,TRAAQWF128F92D1AAD,ARCLCFS1187B9AE476,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd
The Cube (Live),TRAAQYN128F92ED77E,,
Get Back Down,TRAAQYU12903CE68CE,ARILV5E1187B9959C8,Boogie Pimps
Battle Of The Rosebud / Cries,TRAAQZF12903CEDCB8,,
Beyond the Light,TRAAQZQ128EF35C51A,ARGR9FY1187FB4D0E7,Aberdeen
Spaceman,TRAARHS128F931689D,,
Pulecenella 'e mÃ²,TRAARRG12903CDB456,,
Iskorosten' (instr.),TRAARSF12903CD1B12,ARYFROT1187B9B78C2,Butterfly Temple
Big Stax/High Volts (Album Version),TRAARUN128F932B1A0,,
It Goes On,TRAASDM12903CD474E,ARMZ4PD1187B9ACBCD,20/20
Pecado De Amor,TRAASEO128F9337C48,AR0CWSC1187B9AFE3F,JosÃ© Augusto
Illuminate,TRAASFP128F42980BD,ARD5K161187B9AC784,Orbital
Never Forget Me,TRAASGM128EF34DBB0,,
Ukkosenjumalan poika,TRAASIG128F92C3A6B,ARSTH0R1187B98951E,Moonsorrow
A B***** Is A B***** (Edited),TRAASKO128F427CE1C,,
Kick Out The Jams,TRAASKQ128F4265E04,ARCE0H01187B9AF741,Rage Against The Machine
Me And My Buddy,TRAASOD128F428154C,,
Amber Changing,TRAASQC128F93480F0,,
Murder Academy,TRAASSO12903CDD2FF,,
Hey Daddy,TRAASUZ128F9314950,,
4 Sea Interludes Op. 33a: Storm,TRAASYO128F4263883,ARBH0MS1187FB36311,Sir Neville Marriner
I Need You Now,TRAASZE128F93499AE,ARTXEZN1187B9B8190,Agnes
Atmosphere Station,TRAATBN128F14ACE82,,
Walk Away,TRAATGM12903C9CD7C,ARED2DG1187FB3CB4D,Tantric
Shadows That Move,TRAATIU128F4291A84,,
Smile,TRAATJK128F9339179,,
Mountains Of Mourne,TRAATLC12903D0172B,AREW1KO1187B98E42E,The Irish Tenors
Kite Live from Sydney,TRAATMY128F149562F,ARUJ5A41187FB3F5F1,U2
Loco (Crazy),TRAATMY128F9334DAC,ARE2BVT1187B9AC9A2,Little Joe
Ever Be,TRAATNJ128F42631BA,,
Oh Look Misery,TRAATNN128F92FD35F,AR97EHA1187B98AD5F,Blind Blake & The Royal Victoria Hotel Calypsos
Yesterdays,TRAATOA12903CAD615,,
Teacher's Pet,TRAATPA128F146753C,,
Palmer enquÃªte,TRAATQC128F425AF61,,
Go To Hell,TRAATWQ12903CC5BA8,ARE1N571187B98A47D,Prozak
Moon River - Original,TRAATXO128F92D97A6,AR8XG9J1187FB418C1,Jerry Butler
La Plus Bath Des Javas,TRAATZQ128F425E5F1,,
Infidel,TRAAUDN128F933F20D,AR02PUA1187FB52574,Delta 9
English Summer Rain,TRAAUEO128E0780CB9,,
Spanish Shuffle (Album Version),TRAAUGD128F42734DA,,
Intro,TRAAUGZ128F9307F78,,
Empress So Divine,TRAAUIH128F4254C9D,ARN5W1B1187B98BE10,Warrior King
Terapia De Amor Intensiva,TRAAUKK128F933A680,,
Haunting,TRAAUMJ128F933BDB6,ARETCTY1187FB4C033,LORE
Lies Of Hate,TRAAUMN128F4273561,,
The First Noel,TRAAUMZ12903CA97DC,ARP8TSJ1187FB54852,Carl Doy with NZSO
Musical Episode,TRAAUSW128F426646E,,
Beautiful Brown eyes,TRAAUWD128F930DD4E,,
Drop the Bass,TRAAUZI12903CAFD53,ARHVU591187B99F46A,The Nightraver & The Magican
The Last Word (Amended Version),TRAAUZX128F92F3D53,ARV2V751187FB4330F,Rah Digga (Featuring Outsidaz)
Hard Times,TRAAVAH128F4284D7C,,
Just As Much As Ever,TRAAVDZ128F148C948,ARPPURC1187B990FB7,Bert Kaempfert And His Orchestra
Filipino Baby,TRAAVGB12903CFAA99,,
The Boss,TRAAVIH12903CFAC90,ARYECMK1187FB5C081,Lady May
Escapist,TRAAVIT128F92E657C,AR74Q3R1187B9B24C3,Nightwish
Jeffrey's Dark Side,TRAAVJL128F14ACADD,,
Someone to Watch Over Me,TRAAVKY12903CBBB93,AR0G47L1187B98CC6D,Frank Chacksfield
Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,TRAAVNN128F428A85D,ARKUP6H1187FB3F8E3,Cesar Camargo Mariano/Helio Delmiro
Pinned To The Ground (album version),TRAAVOK12903CC4773,ARHRP6Q1187FB3F016,Buzzhorn
Always And Never (Album Version),TRAAVOU128F422F292,,
Myth Takes,TRAAVRJ128F92FF90A,ARTW7I31187B9A4CA9,!!!
Carpe PM,TRAAWAD128F92FA59F,ARQCMZ01187B99342C,The Secret Life of Teenage Girls
Who Shot Ya (Amended Album Version),TRAAWDK128F92E2A17,ARSZ6MA1187FB43D29,The Notorious B.I.G.
Poor Tom (Album Version),TRAAWGY128F4298A09,ARDIBRT1187B9AF176,Led Zeppelin
Wounded Hearts,TRAAWOR128F92DF3C8,ARY80281187FB3E380,Sandi Thom
Love's Been Good To Me,TRAAWQD12903CAA968,,
When Morning Comes To Town,TRAAWUH128F427F12C,ARR2TI31187FB380FE,The Field Mice
Estate,TRAAWUM128F426009A,ARNILB71187B99EC88,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas
Freedom Enough (From Silent Mother Nature),TRAAWVQ128F9313D31,,
Hai Shava,TRAAXCM128F427F97B,,
Nutty Block,TRAAXEJ12903CA7253,,
Until You Love Someone,TRAAXIR128F92D1938,,
Part One From Triomusic,TRAAXKI128F92DAC1B,AR4IWYN1187FB47DF6,Strata
Hello Young Lovers (LP Version),TRAAXMC128F14A53EA,AR9YQN31187FB45B34,James Darren
Same Man,TRAAXMX128F9307699,ARV3IN31187FB4AAAE,Till West & DJ Delicious
Quiero Ir Ao Mar,TRAAXPA128F92FC706,,
The Owl and the Pussy-cat,TRAAXTY128F42725BC,,
Set You Free This Time,TRAAXUY128F426BA55,AR7JBP41187FB3EA8A,Gene Clark
Bloco Da Solidao (1996 Digital Remaster),TRAAYCQ128F425EE32,,
Will You Love Me Tomorrow,TRAAYGH128F92ECD16,,
Stille nacht_ heilige nacht,TRAAYNQ128EF35922B,,
Nine Ways,TRAAYPG128F933C941,AR8JSAL1187FB3CE7E,JDS
Northern Downpour (Album Version),TRAAYPN128F9340DDF,,
Bad Seed,TRAAYRA128F92E9CC7,AR9EZGO1187B9A401F,Jan Howard
Exchange,TRAAYTI128F933663B,ARLDW6Z1187FB3F2A0,Abraham Laboriel
Marie D'Aquitaine,TRAAYVL128F1473727,,
Oh My God,TRAAZBD128F427A97D,AR1QXAQ1187FB47FAC,Sticky Fingaz
Joy To The World,TRAAZBX128F1492AF8,ARKSBCO1241B9CE46E,Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge
Hoochie Coochie Man,TRAAZGC12903CB5DFB,AR76DOS1187FB5AE78,The Jeff Healey Band
Ftei O Erotas,TRAAZHO128F427C9EC,,
The Second Summer Of Love,TRAAZIE128F427961E,,
Prelude And Fugue In C Major BWV 531 : Fugue,TRAAZJU12903C980B6,,
Don't Phunk With My Heart,TRAAZKV12903CDDFE0,,
Give It What U Got,TRAAZLK128F93586D6,ARXG6L11187FB5695E,SWAMI featuring Asuivre
Dancing To A Standstill,TRAAZOZ12903C9CABF,ARO2EDF1187B993BD8,The Black Velvet Band
Isla del Luna,TRAAZPJ128F4292DB5,ARU0HTX1187B98B4C6,Lisa Lynne
Spirit,TRAAZQF128F4285BC3,ARVMPJC1187FB3B954,Pe'z
Another Long One,TRAAZQW128F93430DC,,
Leng Jing,TRAAZYI12903CB2EE4,,
OAKtown,TRABACN128F425B784,,
Larger Than Life,TRABAFJ128F42AF24E,,
I Hold Your Hand In Mine [Live At Royal Albert Hall],TRABAFP128F931E9A1,,
Baby Come To Me,TRABAIO128F42938F9,AR9AWNF1187B9AB0B4,Kenny G featuring Daryl Hall
Den Pai Alo,TRABATO128F42627E9,,
It Wont Be Christmas,TRABAVQ12903CBF7E0,,
Knocked Out Of The Park,TRABAWW128F4250A31,,
Salt In NYC,TRABAXL128F424FC50,,
Wessex Loses a Bride,TRABAXR128F426515F,ARI2JSK1187FB496EF,Nick Ingman;Gavyn Wright
Erica (2005 Digital Remaster),TRABAXV128F92F6AE3,,
Blessed Assurance,TRABAZH128F930419A,,
Loaded Like A Gun,TRABBAM128F429D223,ARBGXIG122988F409D,Steel Rain
Rumba De Barcelona,TRABBBV128F42967D7,AR7SMBG1187B9B9066,Los Manolos
Clementina SantafÃ¨,TRABBJE12903CDB442,,
Wild Rose (Back 2 Basics Mix),TRABBKX128F4285205,AR36F9J1187FB406F1,Bombay Rockers
Kutt Free (DJ Volume Remix),TRABBLU128F93349CF,ARNNKDK1187B98BBD5,Jinx
Ten Tonne,TRABBNP128F932546F,AR62SOJ1187FB47BB5,Chase & Status
A Higher Place (Album Version),TRABBOP128F931B50D,,
Sono andati? Fingevo di dormire,TRABBOR128F4286200,,
Got My Mojo Workin,TRABBTA128F933D304,ARAGB2O1187FB3A161,Pucho & His Latin Soul Brothers
Get Your Head Stuck On Your Neck,TRABBVJ128F92F7EAA,AREDL271187FB40F44,Soul Mekanik
Jenny Take a Ride,TRABBXU128F92FEF48,,
Sonnerie lalaleulÃ© hi houuu,TRABBZN12903CD9297,,
Midnight Star,TRABCAJ12903CDFCC2,ARULZCI1241B9C8611,Luna Orbit Project
Native Soul,TRABCEC128F426456E,AR0IAWL1187B9A96D0,Danilo Perez
Der Kleine Dompfaff,TRABCEI128F424C983,,
A Whiter Shade Of Pale (Live @ Fillmore West),TRABCFL128F149BB0D,,
The Ballad Of Sleeping Beauty,TRABCIX128F4265903,,
Streets On Fire (Explicit Album Version),TRABCKL128F423A778,ARPFHN61187FB575F6,Lupe Fiasco
Music is what we love,TRABCPZ128F4275C32,,
City Slickers,TRABCRU128F423F449,,
Intro,TRABCTK128F934B224,AR558FS1187FB45658,40 Grit
Harajuku Girls,TRABCUQ128E0783E2B,,
Prognosis,TRABCXB128F4286BD3,ARWB3G61187FB49404,Steve Morse
Living Hell,TRABCYE128F934CE1D,AREVWGE1187B9B890A,Bitter End
Small World,TRABDDA12903CC007C,AR2JD2Z1187B998A90,Ethel Merman
Truck Driving Man/Down In The Caribbean,TRABDDP128F92FA843,,
Swallow The Knife (Live) (Segue),TRABDSK128F42443F1,ARF6ZTO1187FB3684F,Story Of The Year
Mayday,TRABDTV128E0791839,,
Lake Of Dreams,TRABDVD128F4292CDF,,
Because Of You,TRABDZC128F42AC23F,ARUE3AK1187B9AC923,Neil Sedaka
Un Peu D'Amour Et D'AmitiÃ©,TRABEAZ128F92E7FA9,,
Rattlesnake!,TRABEBP12903C9BA03,ARQ05GM1187B990512,A Static Lullaby
Disappeared,TRABECY128F93317AA,,
DoppelgÃ¤nger [Qliphothic Phantasmagoria],TRABEFN128F92D925B,ARXN7S71187B9941BE,Coph Nia
Ain't No Love Ain't No Use (Love To Infinity Full Funk Mix),TRABEGU12903CACFD1,AR1072G1187FB5B351,Tabu feat. Mitzib
Ghost Town Rituals (Album Version),TRABEKF128F42765FF,ARXIIEY1187FB44EAF,Nights Like These
Morning Glory,TRABEMC128F148EF2D,,
Rudolph The Red-Nosed Reindeer,TRABERG128F92FCD72,,
Tomorrow Gone,TRABERS128F4247FE1,,
I don't Want to Be Alone Tonight,TRABEXK12903CCE19B,,
Just A Little Lovin' (Will Go A Long Way),TRABFGJ12903CF6A75,AR14CJ91187FB3A994,Eddy Arnold
Shameless,TRABFKN12903CAF61B,ARJV0U41187B9AB715,All Time Low
And I Love You So,TRABFMW12903CD352F,,
L' Envers Du DÃ©cor,TRABFPX128F9331F21,,
Quiet Time,TRABFQC128F4265349,AR0AVIB1187FB37D01,Regina Belle
Little Sister,TRABFTP12903CE6A47,,
Song For Mom (LP Version),TRABFVS128F4289CE5,ARABFU01187FB46712,STEVE CAMP
All Over Me,TRABFXR128F9350B92,ARF88UQ1187FB5A3E9,Jay Tee & Baby Bash
